team,lat,lng,points
2,19.491178,-99.127571,3488
3,19.471882,-99.118852,2000
3,19.475435,-99.116935,2000
2,19.477208,-99.107429,6000
1,19.480592,-99.119456,8542
1,19.471127,-99.110081,2000
3,19.319344,-99.072379,6000
2,19.320088,-99.065434,8627
1,19.329526,-99.066612,9969
1,19.318926,-99.078355,2000
1,19.468931,-99.123205,6126
2,19.528789,-99.190149,6302
2,19.532107,-99.195029,6000
2,19.537536,-99.195578,4000
1,19.53737,-99.1954,2000
1,19.259397,-99.107927,5000
1,19.265799,-99.106262,6303
3,19.26426,-99.107455,7800
1,19.263555,-99.103044,5000
3,19.247134,-99.103818,2000
2,19.254363,-99.10667,2000
1,19.52862,-99.232986,5330
2,19.401298,-99.174374,7796
1,19.407195,-99.178943,6403
2,19.402896,-99.170056,6456
2,19.400383,-99.170584,8240
2,19.403865,-99.177167,3700
2,19.31481,-98.878469,10723
1,19.678702,-99.086513,6000
1,19.674838,-99.079809,6344
1,19.677935,-99.080389,16354
1,19.676212,-99.08893,6000
3,19.524657,-99.191052,2000
1,19.517536,-99.198367,30177
1,19.51339,-99.194585,17944
2,19.51424,-99.206318,14066
1,19.507182,-99.19509,32409
2,19.506747,-99.200429,13362
1,19.418253,-99.174937,4000
2,19.410814,-99.174046,32238
1,19.674996,-99.091217,28395
1,19.400571,-99.184733,4793
1,19.401056,-99.184055,11026
1,19.506999,-99.201066,7249
1,19.503162,-99.203032,7603
1,19.502298,-99.211413,2000
2,19.518844,-99.206837,9080
2,19.508244,-99.208671,8555
2,19.684777,-99.094811,6433
1,19.518835,-99.206218,4000
1,19.4119,-99.187452,3500
1,19.40142,-99.184625,5738
2,19.407505,-99.183867,10056
1,19.248596,-99.19768,4000
2,19.630043,-98.998218,4000
1,19.264719,-98.899177,3614
1,19.610591,-99.190894,5700
2,19.262158,-98.89666,6293
2,19.262239,-98.897798,10021
2,19.2452,-99.143162,14629
3,19.629315,-99.017453,2000
2,19.261681,-98.884185,1500
1,19.25842,-98.89097,3000
2,19.262469,-98.896795,6678
1,19.600572,-99.194158,4000
2,19.601575,-99.19004,2000
2,19.507619,-98.812369,4000
